EPISODE_ID,EVENT_ID,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME
136054,817175,EF1,1.78,200,,,,
134026,802336,EF1,1.75,125,LUB,TX,279,LAMB
133964,801830,EF2,1.52,100,,,,
133963,801831,EF2,5.05,200,,,,
136717,822206,EF0,6.97,150,TAE,FL,73,LEON
135534,813057,EF1,3.32,150,FFC,GA,255,SPALDING
135534,813058,EF0,1.01,150,,,,
136220,817442,EF0,0.5,75,,,,
136054,817182,EF1,1.71,200,,,,
133963,801832,EF1,10.84,100,,,,
133963,801833,EF1,1.91,50,,,,
135313,811343,EF0,0.4,100,,,,
136717,822210,EF0,3.13,150,,,,
136054,817242,EF0,0.02,50,SGF,MO,67,DOUGLAS
135465,812422,EFU,0.38,30,,,,
139171,837059,EFU,1.37,25,,,,
135981,815955,EF0,0.01,10,,,,
136054,817246,EF1,8.57,200,,,,
136054,817419,EF2,8.35,400,,,,
136803,820827,EF1,1.21,440,,,,
137227,823706,EF1,1,100,,,,
137227,823703,EF1,5,450,,,,
137227,823708,EF1,0.9,400,TSA,AR,33,CRAWFORD
138008,829408,EF0,0.15,20,,,,
136054,817247,EF1,5.64,100,,,,
136054,817250,EF0,1.02,75,,,,
136803,820828,EF0,8.72,220,,,,
136142,822183,EF0,0.2,125,TSA,OK,145,WAGONER
136142,822186,EF1,2.1,150,,,,
136142,822188,EFU,1.3,500,TSA,OK,131,ROGERS
134830,808179,EFU,1.11,30,,,,
134830,808180,EFU,0.1,30,,,,
136073,816521,EFU,0.23,50,,,,
139972,842178,EF0,1.82,30,,,,
139988,842225,EF0,0.08,25,,,,
136054,817264,EF1,0.35,50,SGF,MO,57,DADE
139171,837056,EFU,2.55,25,,,,
139171,837058,EFU,1.6,25,,,,
136803,820830,EF0,6.67,400,,,,
136803,820839,EF0,6.48,600,,,,
136142,822193,EF2,8.5,1300,,,,
136142,822202,EF1,7.5,900,,,,
135535,813061,EF0,0.57,150,,,,
136921,822096,EF0,8.3,100,AKQ,VA,81,GREENSVILLE
136921,822086,EF0,1.5,50,,,,
136920,821949,EF0,6.35,50,,,,
136920,822097,EF0,1.49,100,,,,
137246,823787,EF1,3.6,1100,,,,
137880,828565,EF1,15,100,,,,
137880,828569,EF0,0.25,25,,,,
136054,817265,EF1,0.25,50,,,,
136503,819331,EF0,2.88,100,,,,
136566,819423,EF0,0.1,20,,,,
136826,821130,EF0,3.22,100,,,,
136803,820848,EF0,2.97,125,,,,
136142,822213,EF1,7.8,300,,,,
136142,822220,EFU,0.1,50,,,,
136142,822222,EF1,4.3,800,TSA,OK,115,OTTAWA
135535,813062,EF1,2.36,300,,,,
135535,813063,EF1,4.45,200,,,,
136920,822100,EF1,5.77,100,AKQ,VA,175,SOUTHAMPTON
136920,821953,EF0,4.4,100,,,,
136920,822104,EF1,2.82,100,,,,
136054,817415,EF2,1.93,400,SGF,MO,77,GREENE
136803,821280,EF1,2.81,300,,,,
136826,821133,EF1,2.35,150,,,,
136142,822245,EF1,7.2,700,,,,
136054,817155,EFU,0.53,50,,,,
135799,815106,EFU,0.1,25,,,,
135799,815109,EFU,0.1,25,,,,
135800,818031,EFU,2.3,50,,,,
135785,814686,EF0,0.45,50,,,,
136506,819369,EF1,6.9,100,,,,
136286,822242,EF3,15.4,1400,OUN,OK,5,ATOKA
136286,822281,EF3,12.2,1000,,,,
137949,829026,EF0,0.2,50,,,,
137949,829029,EF0,3.06,200,,,,
134675,818696,EF1,8.9,200,,,,
136341,818300,EF0,0.12,50,,,,
134675,807386,EF3,12.16,800,SHV,TX,73,CHEROKEE
134675,818694,EF2,6.03,100,,,,
136342,818306,EF1,7.48,100,,,,
134634,807377,EF1,0.73,50,,,,
136418,818797,EF2,1.74,100,,,,
136690,822524,EFU,1.5,40,,,,
136891,821381,EF0,0.55,30,,,,
136891,821561,EF0,0.25,15,,,,
137893,828630,EF0,3,150,,,,
136767,820509,EF1,3.17,500,,,,
136875,821258,EF0,6.06,100,,,,
136875,821259,EF0,1.05,100,GSP,NC,109,LINCOLN
136732,820432,EF1,5.34,125,RAH,NC,101,JOHNSTON
136359,820472,EF0,1.3,50,,,,
136824,820956,EF1,2.15,175,,,,
136732,820404,EF1,1.92,150,,,,
136732,820433,EF1,4.81,125,,,,
136342,818318,EF2,17.13,75,,,,
136342,818315,EF0,6.66,50,,,,
136342,818321,EF0,3.05,50,,,,
136282,822178,EF1,1.6,50,,,,
136282,822180,EF0,1.31,10,,,,
135812,818829,EF1,1.46,150,,,,
136054,817207,EF1,1.72,100,SGF,MO,153,OZARK
135669,814080,EF0,0.91,200,,,,
136286,822182,EF1,3,30,,,,
136286,822185,EFU,0.3,50,,,,
136286,822187,EF1,0.5,20,,,,
136286,822191,EF1,1.75,30,,,,
136286,822194,EFU,0.2,30,,,,
136286,822196,EF1,0.75,25,,,,
135129,813556,EF0,0.33,25,,,,
136732,820409,EF1,10.6,75,,,,
136732,820413,EF1,11.07,350,RAH,NC,83,HALIFAX
136875,821253,EF0,0.43,50,,,,
134696,811342,EF0,0.6,50,,,,
136768,820690,EF3,8.11,250,,,,
136768,821313,EF1,2.22,60,,,,
135800,815343,EF1,1.15,250,FWD,TX,395,ROBERTSON
136920,821952,EF0,0.6,200,,,,
136920,821954,EF0,17.7,100,,,,
136920,821956,EF1,8.3,200,,,,
136286,822190,EF1,0.2,30,OUN,OK,99,MURRAY
135812,818831,EF1,2.89,250,,,,
135799,815105,EF0,0.31,150,,,,
136054,817209,EF1,3.68,100,SGF,MO,213,TANEY
135669,814049,EF0,1.48,100,,,,
136732,820419,EF1,0.67,350,,,,
136732,820424,EF1,6.17,100,AKQ,NC,131,NORTHAMPTON
136803,821277,EF0,1,150,,,,
136803,821278,EF0,1.09,50,,,,
136875,821264,EF0,0.53,75,,,,
136312,818067,EF1,8.3,300,,,,
136920,821965,EF2,3.1,200,,,,
136920,821971,EF0,2.9,100,,,,
136920,821973,EF0,1.8,150,,,,
135800,815344,EF3,29.81,250,FWD,TX,289,LEON
135800,815345,EF0,1.52,100,,,,
136054,818093,EF0,0.4,50,,,,
136051,816726,EF0,1.04,200,,,,
135163,810250,EF0,0.99,80,,,,
136732,820452,EF2,10.1,600,,,,
136732,820455,EF1,1.6,300,,,,
136506,819337,EF1,1.63,200,,,,
136802,820825,EF0,2.18,325,,,,
136802,820826,EF1,6.3,1175,,,,
137893,828628,EF0,0.5,75,,,,
137893,828629,EF1,0.95,150,,,,
137893,828631,EF1,2,150,,,,
136920,821997,EF2,2,300,,,,
136920,822002,EF0,1.8,100,,,,
136920,822003,EF0,1.4,100,,,,
136819,820934,EF1,0.82,20,,,,
136819,820953,EF1,1.61,75,,,,
136819,820939,EF1,1.73,50,,,,
136819,820945,EF0,1.72,50,,,,
136819,820972,EF2,1.6,50,,,,
136819,820978,EF1,0.62,50,,,,
136819,820981,EF1,0.27,100,,,,
135691,814192,EF0,0.35,100,,,,
136034,817490,EF0,0.42,30,,,,
136035,816319,EF0,6.14,200,,,,
136035,816317,EF0,0.42,200,FGF,MN,87,MAHNOMEN
137108,827450,EFU,0.01,25,,,,
136035,816322,EF1,3.5,200,,,,
138383,832029,EF0,1.8,100,,,,
136013,816219,EF0,0.6,50,,,,
135841,816280,EF0,2.39,50,,,,
135953,815770,EF0,0.18,30,,,,
135841,816287,EF0,0.79,50,,,,
138056,829642,EF1,1.3,900,,,,
137109,828772,EFU,0.24,50,,,,
138524,832810,EF1,3.82,100,,,,
135725,814296,EF0,0.06,30,,,,
137203,823552,EF2,4.55,850,SHV,TX,159,FRANKLIN
135841,816292,EF2,9.5,200,,,,
138056,829932,EF1,9.07,400,,,,
137253,823900,EF0,0.89,20,,,,
136853,821095,EF0,0.08,10,,,,
136853,821098,EF0,0.13,10,,,,
135391,813326,EF0,0.03,20,,,,
135841,816145,EF0,21.74,75,,,,
135841,816293,EF0,2.07,50,,,,
140660,845569,EF0,0.5,5,,,,
136295,817933,EF1,1.67,700,PBZ,OH,119,MUSKINGUM
136295,817940,EF0,0.12,100,,,,
135841,816148,EF0,2.62,50,,,,
138967,835887,EF0,1.6,40,,,,
138175,830366,EFU,0.25,20,,,,
138175,830367,EFU,0.25,20,,,,
137201,823549,EF0,1.06,75,,,,
136032,816294,EF1,4.08,150,,,,
138175,830369,EFU,0.25,20,,,,
137203,823561,EF0,3.36,100,,,,
137228,823679,EFU,0.4,10,,,,
136032,816300,EF0,0.24,75,,,,
136032,816303,EF0,4.5,150,,,,
136629,819625,EF1,1.56,200,,,,
136837,821008,EF1,0.9,250,,,,
136837,821014,EF1,0.85,250,,,,
136837,821018,EF1,1.01,250,,,,
137311,824212,EF1,1.1,295,,,,
140334,843840,EF1,1.3,160,,,,
137379,824754,EF0,0.01,25,,,,
135368,811742,EFU,0.01,30,,,,
135368,811752,EFU,0.01,30,,,,
134879,808421,EF0,0.1,20,,,,
134879,808422,EF0,0.3,20,,,,
135084,809791,EF1,1.44,200,,,,
135084,809805,EF0,1.01,140,,,,
132944,795410,EF0,0.19,25,,,,
134170,803584,EF0,0.56,150,,,,
135084,809803,EF0,4.03,350,BMX,AL,127,WALKER
135084,809789,EF0,1.08,200,,,,
134170,803615,EF0,2.98,100,,,,
134170,803620,EF0,0.89,100,,,,
134170,803629,EF0,0.81,200,,,,
135084,809790,EF1,7.77,700,BMX,AL,57,FAYETTE
133739,800326,EF1,2.5,100,,,,
134172,803578,EF1,2.05,150,,,,
133741,800329,EF1,1.4,30,,,,
137246,823800,EF1,2.3,550,,,,
137246,823781,EF0,0.5,100,,,,
137246,823783,EF0,0.75,75,,,,
137178,823312,EF1,0.72,200,,,,
137227,823716,EF1,4.6,1000,,,,
133333,797876,EF0,7.5,150,,,,
133307,798027,EF0,0.56,25,,,,
137225,824220,EF0,0.39,30,,,,
135921,815623,EF1,0.81,270,,,,
139102,836911,EF1,0.2,202,,,,
138440,837301,EF1,3,100,OUN,OK,39,CUSTER
138440,837302,EF1,0.15,100,,,,
138440,837308,EF0,1.3,300,,,,
137125,822831,EF0,0.05,15,,,,
137125,822834,EF0,0.12,30,,,,
139517,839327,EFU,0.1,10,,,,
139444,838777,EF0,0.01,10,,,,
136251,817696,EF0,4.22,50,,,,
142851,862850,EF1,7.2,1100,,,,
138441,837317,EF0,0.2,20,,,,
138441,837324,EF0,0.2,20,,,,
138442,837328,EF1,1,50,,,,
137246,823785,EF2,9.1,2700,,,,
137363,824550,EF0,1.7,35,,,,
142851,862865,EF0,8.3,400,,,,
142851,862874,EF1,2.9,600,,,,
136079,816579,EF0,0.2,50,,,,
137246,823801,EF1,0.7,75,,,,
137246,823803,EF0,0.6,100,,,,
142648,856409,EF3,15.76,1300,,,,
139628,839871,EF0,0.65,60,,,,
142851,862906,EF1,5.8,900,TSA,AR,7,BENTON
143330,859789,EF1,0.91,100,,,,
138115,830264,EF1,4.3,200,,,,
142648,856475,EF1,2.83,350,,,,
137226,823678,EF0,1.4,400,TSA,OK,97,MAYES
137226,823681,EF1,8.7,400,,,,
137445,825410,EF0,2.14,50,,,,
138423,832296,EF0,1.29,10,,,,
137356,824529,EF1,2.11,35,,,,
139639,839954,EF0,1.42,75,,,,
138569,833477,EF0,0.31,30,,,,
137226,823683,EF0,2.1,100,,,,
137226,823684,EF1,1.2,100,,,,
134690,851469,EF1,1.1,70,,,,
137911,828827,EF1,0.38,75,,,,
138466,832574,EF0,0.07,5,,,,
137226,823685,EF0,0.3,400,TSA,AR,131,SEBASTIAN
138786,838296,EFU,0.15,25,,,,
138847,835163,EF0,0.71,15,,,,
134690,851470,EF1,6.31,80,,,,
138070,830266,EF0,0.32,50,,,,
143330,859853,EF1,3.31,100,,,,
143330,859855,EF0,0.09,25,,,,
143330,859950,EF1,1.34,75,,,,
137830,828152,EF0,0.18,70,,,,
136645,820067,EFU,0.08,40,,,,
136252,817962,EF0,1.38,50,,,,
136830,821043,EF0,0.37,30,,,,
136830,821072,EF0,0.46,30,,,,
137180,823280,EF0,0.01,25,,,,
137142,823064,EF1,0.96,75,,,,
137551,826335,EF1,0.23,50,,,,
139446,838800,EFU,0.1,10,,,,
139080,836514,EF0,0.25,400,,,,
136659,819891,EF0,1.33,30,,,,
137584,826696,EF1,2.8,120,,,,
139446,838801,EFU,0.1,10,,,,
137921,828886,EF0,0.05,20,,,,
137142,823271,EF1,1.47,150,PAH,KY,221,TRIGG
136305,818028,EF2,3.6,400,,,,
139102,836830,EF0,0.22,50,,,,
139102,836833,EF1,1.57,100,,,,
139102,836834,EF1,0.45,311,,,,
136863,821173,EF0,0.06,25,,,,
136863,821175,EF0,0.07,25,,,,
137909,829357,EF2,1.44,175,,,,
138070,830270,EF1,2.07,200,PHI,NJ,7,CAMDEN
137912,828828,EF1,4.09,250,,,,
137142,823272,EF1,0.61,150,,,,
137142,823066,EF0,2.81,60,,,,
138548,832944,EF1,1.27,150,,,,
139102,836878,EF0,0.37,115,,,,
139102,836884,EF1,0.75,100,,,,
138068,830265,EF1,4.56,580,,,,
137142,823046,EF1,0.76,50,,,,
137551,826319,EF1,0.93,100,,,,
137551,826324,EF1,15.98,150,,,,
142417,854917,EF0,1.96,100,,,,
137142,823053,EF1,4.35,200,,,,
137142,823063,EF1,7.59,175,,,,
137551,826320,EF1,0.15,150,,,,
137551,826323,EF1,1.3,150,PAH,KY,145,MCCRACKEN
137551,826327,EF1,0.5,140,,,,
137551,826331,EF1,0.79,125,,,,
138191,831807,EF0,0.11,20,,,,
137356,824517,EF0,0.1,20,,,,
137356,824534,EF0,1.6,100,,,,
139102,836899,EF1,0.12,104,LCH,LA,1,ACADIA
139102,836902,EF1,1.26,186,,,,
139102,836903,EF1,0.97,93,,,,
139102,836905,EF1,1,419,,,,
137771,830707,EF1,10.9,1400,TSA,OK,143,TULSA
137771,830710,EF1,1.6,900,,,,
137725,830637,EFU,0.8,75,,,,
137813,828073,EF0,0.92,100,,,,
138066,834123,EFU,0.01,10,,,,
138066,834126,EF0,1.28,132,,,,
139316,837859,EF0,0.75,60,,,,
136739,832917,EF1,5.39,550,,,,
137771,830733,EF0,0.9,400,,,,
137771,830735,EF0,0.2,75,,,,
137725,830276,EFU,0.5,100,,,,
137725,830317,EF0,0.2,75,,,,
137725,830330,EF1,5.1,350,,,,
137725,830344,EF1,1.5,150,,,,
136819,820965,EF1,0.52,75,,,,
137898,828717,EF0,12.62,50,,,,
138066,834127,EF1,0.21,100,,,,
138066,834129,EF0,0.12,50,,,,
136739,832919,EF0,2.03,50,,,,
136739,832921,EF0,0.52,30,,,,
137771,830702,EF1,2.6,200,,,,
137771,830739,EF0,3.2,300,,,,
137725,830277,EF1,0.8,75,,,,
137772,830757,EF0,1.5,100,,,,
138938,835578,EF1,7.85,350,,,,
137246,823788,EF1,6.9,600,,,,
138710,834164,EFU,3.73,10,DVN,IA,55,DELAWARE
138710,834172,EFU,3.53,10,,,,
138710,834169,EFU,6.43,10,,,,
138816,841258,EF0,1.25,100,,,,
138978,835908,EF0,0.08,10,,,,
137725,830696,EF1,2.6,1100,TSA,OK,41,DELAWARE
137725,830699,EF1,6,1100,,,,
138101,829869,EF1,0.27,50,,,,
138938,835580,EF0,0.83,75,,,,
136323,818105,EF0,0.03,20,,,,
137246,823784,EF2,11.9,2700,TSA,OK,41,DELAWARE
138710,834170,EFU,1.05,10,,,,
139401,841282,EF0,0.48,10,,,,
139401,841283,EF0,2.01,250,,,,
138651,837744,EF1,8.11,200,,,,
138440,837306,EF2,6.25,500,,,,
138440,837309,EF1,1.5,400,,,,
138440,837313,EF1,5.2,50,,,,
138441,837316,EF0,0.2,20,,,,
137771,830724,EF1,6.5,2200,,,,
137771,830719,EF1,5.8,2200,TSA,OK,143,TULSA
137246,823782,EF1,4.4,450,,,,
138748,834402,EF2,1.82,260,,,,
138408,839304,EFU,0.1,250,,,,
138651,837745,EF2,3.68,400,,,,
137771,830731,EF0,0.9,400,TSA,OK,145,WAGONER
138094,829794,EF1,2.82,50,,,,
137725,830315,EF0,0.2,75,,,,
137246,823798,EF1,1.6,75,,,,
138748,834404,EF2,1.3,300,,,,
138748,834395,EFU,0.83,40,,,,
138651,837746,EF2,3.52,400,,,,
139847,841279,EF0,0.4,10,,,,
137226,823675,EF0,3.7,350,,,,
138357,835762,EF1,5.82,720,,,,
137488,832236,EF1,5.28,60,,,,
