FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
39724,850181,D,10/13/2019,43,M,In Water
39962,854522,D,10/29/2019,,,Vehicle/Towed Trailer
39560,854867,D,10/21/2019,48,F,Mobile/Trailer Home
39562,854922,D,10/31/2019,38,F,Vehicle/Towed Trailer
39563,855017,I,10/27/2019,56,F,Vehicle/Towed Trailer
39601,856181,D,10/27/2019,,F,Camping
39628,856591,D,10/04/2019,24,F,In Water
39668,857400,I,10/12/2019,27,M,In Water
39960,858302,D,10/20/2019,66,M,Permanent Home
39713,858580,D,10/19/2019,44,M,Outside/Open Areas
39726,859301,D,10/24/2019,38,M,In Water
39729,859729,D,10/02/2019,50,M,In Water
39964,861536,D,10/10/2019,,,Mobile/Trailer Home
39965,861536,D,10/10/2019,,,Mobile/Trailer Home
